catalog_id,title,alt_titles,author,author_alt,year,format,series
CAT0112,The Silmarillion,,J.R.R. Tolkien,"Tolkien, J.R.R.",1999,illustrated hardcover,
CAT0113,Emma,,Jane Austen,"Austen, Jane",1815,paperback,
CAT0114,Sense and Sensibility,,Jane Austen,"Austen, Jane",1811,paperback,
CAT0115,Jane Eyre,,Charlotte Bronte,"Charlotte Brontë|Bronte, Charlotte",1847,paperback,
CAT0116,Wuthering Heights,,Emily Bronte,"Emily Brontë|Bronte, Emily",1847,paperback,
CAT0117,Frankenstein,"Frankenstein; or, The Modern Prometheus",Mary Shelley,"Shelley, Mary",1818,paperback,
CAT0118,Dracula,,Bram Stoker,"Stoker, Bram",1897,paperback,
CAT0119,The Picture of Dorian Gray,,Oscar Wilde,"Wilde, Oscar",1890,paperback,
CAT0120,Moby-Dick,"Moby Dick; or, The Whale",Herman Melville,"Melville, Herman",1851,paperback,
CAT0121,The Odyssey,,Homer,,-700,paperback,
CAT0122,Meditations,,Marcus Aurelius,"Aurelius, Marcus",180,paperback,
CAT0123,The Stranger,L'Etranger|The Outsider,Albert Camus,"Camus, Albert",1942,paperback,
CAT0124,Siddhartha,,Hermann Hesse,"Hesse, Hermann",1922,paperback,
CAT0125,The Little Prince,Le Petit Prince,Antoine de Saint-Exupery,"Antoine de Saint-Exupéry|Saint-Exupery, Antoine de",1943,hardcover,
CAT0126,All the Light We Cannot See,,Anthony Doerr,"Doerr, Anthony",2014,hardcover,
CAT0127,The Night Circus,,Erin Morgenstern,"Morgenstern, Erin",2011,paperback,
CAT0128,The Nightingale,,Kristin Hannah,"Hannah, Kristin",2015,hardcover,
CAT0129,A Man Called Ove,En man som heter Ove,Fredrik Backman,"Backman, Fredrik",2012,paperback,
CAT0130,The Vanishing Half,,Brit Bennett,"Bennett, Brit",2020,hardcover,
CAT0131,Klara and the Sun,,Kazuo Ishiguro,"Ishiguro, Kazuo",2021,hardcover,
CAT0132,The Midnight Library,,Matt Haig,"Haig, Matt",2020,hardcover,
CAT0133,Verity,,Colleen Hoover,"Hoover, Colleen",2018,paperback,
CAT0134,Atomic Habits,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,"Clear, James",2018,paperback,
